tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_bulbifera_SC378,222.0954773869,123.3618090452,64.8190954774,1900.6532663317,314.7688442211,123.4824120603,191.2864321608,223.8693467337,205.4170854271,244.7788944724,196.5075376884,1127.4422110553,228.1909547739,6.256281407,85.256281407,608.7035175879,27.4422110553,278.3969849246,293.6030150754,885.8944723618
Scleria_burchellii_SC453,223.5,123.5,70.25,977,305.5,131.25,174.25,227.25,213.5,232.75,208.5,1553.25,267,8.75,73.75,757.25,40,387,55.75,834.25
Scleria_calcicola_SC070,201.3333333333,129.6666666667,54.3333333333,2598,314,77,237,215.3333333333,164.3333333333,228.6666666667,164,966.3333333333,243,0,115.6666666667,684.6666666667,0,364.6666666667,4,1248
Scleria_carphiformis_SC062b,266.2272727273,86,64.8181818182,1283,326.8181818182,194.7727272727,132.0454545455,273.0454545455,248.0909090909,279.6818181818,246.4090909091,1762.3636363636,397.6818181818,6.5,102.3636363636,1113.7272727273,27.4090909091,597.6818181818,42.3636363636,30.1818181818
Scleria_castanea_SC046,171.6923076923,130.0769230769,73.2307692308,1149.6923076923,252.5384615385,76,176.5384615385,179.3846153846,154.6923076923,182.7692307692,154.3846153846,1157.9230769231,202.5384615385,16.3846153846,66,564.6153846154,71.3846153846,419.6923076923,75.8461538462,2389.6153846154
Scleria_catophylla_SC049,238.7234042553,100.2765957447,66.6382978723,1552.9574468085,312.829787234,160.2978723404,152.5319148936,242.9574468085,223.9574468085,256.7021276596,217.085106383,1712.1489361702,324.1489361702,15.0638297872,70.9574468085,795.2765957447,71.1276595745,437.8936170213,319.170212766,387.2340425532
Scleria_ciliaris_SC060,264.2455516014,100.0071174377,60.5693950178,1933.078291815,338.5017793594,172.7758007117,165.7259786477,276.5017793594,239.3416370107,284.9857651246,235.1067615658,1644.4377224199,352.6476868327,13.2633451957,97.2989323843,982.024911032,48.0284697509,550.7793594306,83.2206405694,100.6014234875
Scleria_ciliata_SC189,180.8911290323,122.3588709677,44,6108.4314516129,321.7459677419,28.5806451613,293.1653225806,223.3790322581,131.2258064516,255.7258064516,98.6209677419,1291.4919354839,172.7822580645,55.2943548387,35.2298387097,467.1451612903,196.3548387097,410.9556451613,242.4919354839,222.0362903226
Scleria_comosa_SC063b,243.5294117647,115.8235294118,73,797,319.8235294118,161.5882352941,158.2352941176,244.7058823529,237.5294117647,252.1176470588,232,1766.0588235294,294,22.8235294118,68.7647058824,795.8235294118,94.2352941176,341.8235294118,218.2352941176,570.2941176471
Scleria_composita_SC293,222.875,118.75,61.625,2269.625,317.375,123,194.375,234.375,194.25,249.125,192.25,1556.875,238.75,37.375,52.25,651.75,138.75,428.75,150.375,407.5
Scleria_corymbosa_SC096,248.25,89.25,61.75,2107.75,329.25,167.625,161.625,257.25,238.875,274,219.75,2056.625,336,65.375,65.125,904.625,222.5,599.5,435.375,288.25
Scleria_cuyabensis_SC457,226,116.0769230769,69.9230769231,975.5384615385,302.8461538462,138.1538461538,164.6923076923,229.8461538462,216.4615384615,235.4615384615,211.0769230769,1636.9230769231,290.5384615385,8,75.3076923077,796.1538461538,36.9230769231,303.4615384615,69.0769230769,770.6153846154
Scleria_cyperina_SC127,255.5958549223,90.5077720207,77.6321243523,686.9637305699,316.8756476684,201.0984455959,115.7772020725,251.8601036269,258.4196891192,263.3419689119,246.0051813472,2287.0777202073,350.2694300518,63.6943005181,51.1295336788,955.7979274611,232.2176165803,346.4196891192,734.2176165803,252.4507772021
Scleria_delicatula_SC288,206.5,124,62.5,1557,299,99.5,199.5,212.75,183.5,222,183.5,1195,225.25,0.75,89.5,627.75,6.5,331,27.75,1343.5
Scleria_depauperata_SC214,227.8333333333,70,59.5,1675.8333333333,287.3333333333,169.3333333333,118,248.6666666667,213.1666666667,248.6666666667,205.6666666667,2197.5,318.3333333333,103.3333333333,38.8333333333,854.3333333333,331.3333333333,854.3333333333,350.5,319.5
Scleria_depressa_SC054,268.4897959184,111.0204081633,67.8265306122,1472.1020408163,356.3163265306,191.6326530612,164.6836734694,257.0408163265,269.1530612245,288.5,250.2959183673,1244.7653061225,260.7244897959,6.7653061224,83.6734693878,660.0306122449,37.5510204082,192.0204081633,448.8979591837,230.4081632653
Scleria_distans_SC177,221.4021447721,101.5576407507,66.8016085791,1690.6085790885,297.8123324397,142.5790884719,155.2332439678,231.1849865952,207.5013404826,241.0965147453,198.5174262735,1779.1072386059,275.6595174263,46.6890080429,52.5683646113,736.7050938338,170.8766756032,472.5898123324,356.1796246649,577.6032171582
Scleria_distans_var._chondrocarpa_SC031,178.8571428571,107.4285714286,61.5714285714,2555,260.1428571429,87,173.1428571429,205.8571428571,153.1428571429,205.8571428571,142,1507.8571428571,305.4285714286,34.8571428571,79.2857142857,806.5714285714,117.2857142857,806.5714285714,131.1428571429,1206
Scleria_dregeana_SC384,176.1176470588,132.1470588235,57.7941176471,3240.2647058824,275.3235294118,45.7647058824,229.5588235294,207.8823529412,131.6470588235,211.1470588235,130.0588235294,819.2352941176,145.4411764706,9.9705882353,74.7352941176,403.9411764706,36.2941176471,319.5294117647,39.4705882353,1230.6470588235
Scleria_eggersiana_SC275,254.3797468354,100.0253164557,68.9113924051,1408.9113924051,326.4936708861,180.4936708861,146,259.8860759494,250.1898734177,269.2784810127,234.417721519,1888.5189873418,319.6962025316,38.2784810127,63.1518987342,831.5569620253,137.7848101266,425.9620253165,352.253164557,162.6582278481
Scleria_erythrorrhiza_SC023,202.5,116.75,71.5,861.25,278.5,111.75,166.75,205.25,190.25,211.5,190.25,1361.5,246.75,10.5,79,637.5,43.25,365.5,57.75,1456.5
Scleria_flagellum-nigrorum_SC129,262.2075471698,96.3396226415,82.5660377358,523.641509434,322.4339622642,206.0188679245,116.4150943396,259.7735849057,262.9245283019,268.0188679245,254.8867924528,2581.5849056604,356.2452830189,101.0754716981,41.3396226415,975.9811320755,347.4528301887,503.3396226415,723.9056603774,209.4150943396
Scleria_flexuosa_SC351,171.05,128.25,59.25,2783.95,265.8,49.25,216.55,196.55,133.05,201.5,131.25,986.45,176.3,9.7,75.35,487.7,39.35,364.95,78.05,1416.9
Scleria_foliosa_SC130,230.6842105263,126.3859649123,65.7543859649,1868.6666666667,323.5964912281,130.7368421053,192.8596491228,233.5438596491,212.5789473684,253.2280701754,205.9298245614,1020.8596491228,227.4561403509,6.3684210526,92.6666666667,580.3333333333,26.0350877193,283.9122807018,201.3859649123,849.1228070175
Scleria_fulvipilosa_SC294,194,120,57.6666666667,1944.3333333333,295.3333333333,88.3333333333,207,201.6666666667,165.3333333333,215.3333333333,165.3333333333,1181,260.3333333333,0,110,752,1.3333333333,312,5.3333333333,1512
Scleria_gaertneri_SC271,245.8928024502,99.712863706,71.2687595712,1235.7833078101,317.0153139357,175.1607963247,141.854517611,250.3346094946,238.8062787136,259.9624808576,228.8614088821,2157.4601837672,332.8162327718,55.882848392,55.0068912711,887.5352220521,201.0336906585,493.7924961715,466.0911179173,292.9272588055
Scleria_georgiana_SC186,227,103.7045454545,53.2386363636,3715.6704545455,323.7045454545,117.375,206.3295454545,264.5,202.9886363636,270.5681818182,176.5,1601.4204545455,228.9204545455,55.6590909091,43.2954545455,615.2727272727,197.6363636364,525.2954545455,279.8636363636,27.125
Scleria_glabra_SC269,214,114.75,64,1458.25,296.75,118.75,178,221.5,195.75,229.75,192.5,1021.25,212.25,1.25,98,590.5,6,230.5,7,1525.75
Scleria_globonux_SC133,269.375,134.125,59.75,1939.25,378.375,155.625,222.75,258.375,258.5,297.5,249,1265.5,341.25,0.125,112,863.75,1.5,127.375,184.25,235.25
Scleria_goossensii_SC134,249.5,93.8333333333,79.8333333333,696.5,311,194,117,244.6666666667,248.3333333333,257.5,240,1746.3333333333,274.3333333333,37.8333333333,48.5,671,159.5,377.6666666667,359,319
