tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_biflora_SC108,14.1357195387,4.7836227758,3.6282400503,43254.3152149352,14.4267149824,39.6074223805,38.3344672739,4.4319820542,38.6536427841,7.1095978209,37.8200239114,8139.6923693195,770.7421353416,27.329960271,11.2713034975,3926.5443284484,278.6905369373,1383.6862024906,1472.1426053517,2213.8340543716
Scleria_boivinii_SC209,1.675927141,2.425262939,0.2981412489,1701.5486127356,1.7738258476,4.963225622,5.233910021,1.7261516479,3.2068924858,1.5067333056,2.4464584455,2336.2509862392,98.8697828213,4.1478613997,2.3383984476,610.0834640817,57.3650102665,520.0664734443,1043.3598716162,606.3260025471
Scleria_bourgeaui_SC313,45.8116320377,20.741770654,4.6406760209,64336.9971117723,49.796381876,101.4341734333,95.5636179363,45.5213242626,88.9554486935,37.3035495016,79.8223036005,21051.3399708468,695.3985123247,74.1106543193,28.3929652915,4530.2777503771,829.2204283603,2823.3670764473,5416.0493422703,11625.3780067535
Scleria_bracteata_SC068,0.7228012618,0.8352707778,0.1391056261,821.2349698222,0.8779891298,1.9734299619,2.100438385,0.7185835567,1.2563992559,0.6618603502,1.1685300942,905.7811490467,30.8437064796,2.1346197278,0.7660604667,202.922205482,23.0188577401,79.6980555444,186.581808542,275.7428311077
Scleria_brownii_SC059,0.589087647,0.5480568723,0.0140917158,793.2065789683,0.9949149356,1.1196544977,2.0427296807,0.3326841581,0.7120938702,0.5053776339,0.8907080784,211.9277824629,8.0470976407,0.2808909467,0.3943954839,70.2313034566,2.970420869,46.9339275486,4.1434195181,49.5067583422
Scleria_bulbifera_SC378,10.4341704972,1.2853649497,0.231244288,4098.2070218613,12.7774571553,18.6700088433,6.1818860303,4.5778539926,19.0007710753,9.8101180487,15.0622744707,353.2826020361,17.5112619593,0.3949527853,1.5996124473,113.1861709441,5.956730253,158.9239540681,482.2521607581,1769.5338506654
Scleria_burchellii_SC453,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_calcicola_SC070,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_carphiformis_SC062b,0.8265446675,6.1515151515,0.7127115309,3100.1774891775,2.3404171586,6.9997048406,15.2877804014,1.084317198,0.9563164109,1.1185556867,0.9682211728,2318.9417552145,79.9237504919,10.7738095238,9.4785517513,513.0354191263,151.4790436836,768.5211530893,451.1798504526,31.7256985439
Scleria_castanea_SC046,38.7636886473,17.5507290149,3.9267258638,54438.997556115,42.135400049,85.828915982,80.8615228692,38.5180436068,75.2699950484,31.564541886,67.5419492004,17812.6722830242,588.4141258132,62.7090151933,24.0248167851,3833.3119426268,701.6480547664,2389.00291084,4582.810981921,9836.8583134068
